Method,Full_RSE,DropTop1_RSE,Full_R2,DropTop1_R2,Full_MAE,DropTop1_MAE,Full_Ranking,DropTop1_Ranking
PCA_paper,0.13269346375471192,0.1156989439277025,0.8918938330754331,0.9178116622341437,0.09118676305898654,0.07507279238517184,"logT, R, logSigma, logW, logL","logSigma, R, logW, logL"
PCA,1.1991922523204173,0.8905829761363715,-7.829356150750037,-3.8696773339431383,0.8582840700869098,0.6435079119432691,"logT, logL, logW, logSigma, R","logSigma, logL, logW, R"
Spearman,0.2030145025585165,0.3666616514125411,0.7469504705769097,0.1745659354454071,0.1439006500731407,0.2935687581751547,"logSigma, logT, logW, logL","logW, logT, logL"
HGVS,0.19769611495271963,0.36381819724369124,0.760035124577743,0.18731874516641667,0.14527472513547823,0.29285026441618195,"logSigma, logW, logL, R","logW, R, logL"
