Method,Full_RSE,DropTop1_RSE,Full_R2,DropTop1_R2,Full_MAE,DropTop1_MAE,Full_Ranking,DropTop1_Ranking
PCA_paper,0.2803984153756566,0.229406194741258,0.5172719698919785,0.6768815999826773,0.2274003932057701,0.1791670674982944,"R, logT, logSigma, logL, logW","logSigma, logT, logW, logL"
PCA,1.1991922523204173,0.8905829761363715,-7.829356150750037,-3.8696773339431383,0.8582840700869098,0.6435079119432691,"logT, R, logL, logSigma, logW","R, logL, logW, logSigma"
Spearman,0.2366135380690948,0.4132674466871163,0.656259593242525,-0.04860953251671396,0.18877154768153317,0.32716868227759,"logSigma, logL, logW, logT","logL, logW, logT"
HGVS,0.23834915328401446,0.3959379903744129,0.6511982667560727,0.037488878628405886,0.18894833656372056,0.3253031507436548,"logSigma, logL, logW, R","logW, R, logL"
