Method,Full_RSE,DropTop1_RSE,Full_R2,DropTop1_R2,Full_MAE,DropTop1_MAE,Full_Ranking,DropTop1_Ranking
PCA_paper,0.27245954948993645,0.23250718609162888,0.5118981135724266,0.6445494602138733,0.21921404616458856,0.19123183203495575,"R, logT, logSigma, logL, logW","logSigma, logT, logW, logL"
Spearman,0.2680403407893903,0.28168938349293565,0.5276034245370007,0.4782681180504851,0.2116033571044593,0.22903924036390466,"logL, logW, logT, logSigma","logW, logT, logSigma"
HGVS,0.28658545486871045,0.29606147057418714,0.45997395332442514,0.42367136015559814,0.22405493340387195,0.23265685708469616,"logL, logSigma, R, logW, logT","logSigma, R, logW, logT"
