Method,Full_RSE,DropTop1_RSE,Full_R2,DropTop1_R2,Full_MAE,DropTop1_MAE,Full_Ranking,DropTop1_Ranking
PCA_paper,0.27245954948993645,0.23264798946054713,0.5118981135724266,0.6441188172842295,0.21921404616458856,0.1860174435966017,"logT, R, logSigma, logW, logL","logSigma, R, logW, logL"
Spearman,0.3263589008908762,0.32572912061242637,0.2996786903046411,0.3023789261419795,0.2676079535720264,0.26766794391248144,"logL, logW, logT, logSigma","logW, logT, logSigma"
HGVS,0.34196804540194514,0.3520324525467239,0.23108652845088895,0.1851609751594665,0.2775024837087265,0.2893765713811,"logL, logSigma, R, logW, logT","logSigma, R, logW, logT"
